,source,sink,reactance,limit
273,n_6942,n_28698,85.17141769868873,9651.599999999999
274,n_6953,n_6954,41.587703746998045,1239.72
275,n_6953,n_18694,48.027274881514316,1251.4
276,n_6954,n_31267,94.11387364610134,1307.42
277,n_6955,n_28704,154.67351437249496,6325.33
278,n_6955,n_28703,184.92686974472508,10149.66
279,n_6956,n_28703,265.3132155165781,1398.68
280,n_6964,n_18694,15267.175572519083,1820.94
281,n_6965,n_6968,126.142901995669,2550.48
282,n_6965,n_6967,44.86752727968093,2491.37
283,n_6966,n_29661,113.55590669565369,1323.5
284,n_6966,n_6969,39.822886913992285,1236.23
285,n_6967,n_6972,3147.6631748589853,3285.5699999999997
286,n_6967,n_28707,16.228843835743067,4429.58
287,n_6967,n_6986,218.58214940133627,1381.15
288,n_6967,n_6682,23.880116276106968,4542.37
289,n_6968,n_26833,34.606837258994524,1224.98
290,n_6968,n_6981,177.9935534294819,1362.8
291,n_6969,n_22602,379.3737525716798,1431.62
292,n_6971,n_6974,856.0185379374576,1509.51
293,n_6971,n_18870,459.22664396250144,1449.53
294,n_6971,n_6978,66.10997221992857,1277.7
295,n_6974,n_6980,2179.1857254618244,1604.18
296,n_6974,n_6976,2484.1140903919436,1617.92
297,n_6977,n_18870,41.138430365657705,1238.85
298,n_6978,n_28707,86.15262782314623,1299.92
299,n_6981,n_6982,197.39080932600513,1372.01
300,n_6982,n_6966,160.87728313018283,1353.86
301,n_6984,n_18870,838.9311011054594,1507.53
302,n_6987,n_22602,179.9574544586169,1363.77
303,n_6991,n_19358,931.5844388135341,1517.84
304,n_7011,n_28710,34.9998353257748,4656.84
305,n_7014,n_6666,20.738377487412844,1184.82
306,n_7014,n_28710,44.44266278747403,1245.09
307,n_7031,n_30941,17.09408663919009,32452.5
308,n_7044,n_30087,6199.781767681778,1717.17
309,n_7044,n_22609,292.12526681991557,1407.47
310,n_7045,n_15666,63.63855338113225,1274.54
311,n_7045,n_22609,824.8844543100624,1505.87
312,n_7045,n_30086,92.16066627000716,9917.82
313,n_7045,n_24341,346.9860789185138,1423.33
314,n_7045,n_7046,129.1890018302206,5070.06
315,n_7046,n_7047,166.64566931233333,1356.97
316,n_7046,n_22609,108.455752764266,1319.55
317,n_7049,n_26833,128.92638870481065,1334.49
318,n_7049,n_28707,105.18335141084533,6281.73
319,n_7050,n_23857,2366.914324802185,6126.77
320,n_7061,n_7064,57.899356906052915,4811.96
321,n_7064,n_7066,365.2311621071208,5424.95
322,n_7065,n_29002,51.704688053724894,4776.65
323,n_7065,n_7699,49.35301893650661,4762.19
324,n_7065,n_28663,8.854910981889821,4258.28
325,n_7065,n_7067,182.42512679914503,5185.24
326,n_7066,n_28718,150.02375626180407,5119.65
327,n_7067,n_9824,248.50715539077873,5290.65
328,n_7067,n_23767,62.454595509064916,4835.75
329,n_7089,n_9821,63.98077505671096,4843.35
330,n_7089,n_6689,14.79843218306205,4403.05
331,n_7089,n_9820,24.823780943835896,4553.85
