source,sink,linesus,linemva
9418,17163,0.017287971,4811.66
10016,23850,0.073146099,4380.40
328,19230,0.000408068,6140.64
6407,30949,0.035832802,4588.69
326,1517,0.022871317,4724.79
9835,23769,0.000953034,5810.75
6889,22589,6.65354E-05,6910.22
19358,22602,0.003221771,1413.04
7588,22813,0.000127681,6623.14
4478,4484,0.052325819,4476.97
6966,6969,0.025111188,1236.23
28953,28955,0.02177351,4739.94
322,334,0.014063022,4876.77
6695,19222,0.000219889,6392.86
22541,22542,0.014445136,4868.27
13843,25970,0.003298962,1410.86
1924,23766,0.019560666,4773.13
14283,29239,4.87978E-05,1856.16
9995,23846,0.00738324,5085.69
9457,23583,0.004923341,5221.63
6892,22590,0.002719046,1428.73
28711,1572,0.159785337,30397.62
3493,20881,0.000653513,1567.68
6971,6978,0.015126311,1277.70
9833,28993,0.006550314,5125.47
15622,18690,0.013455284,1287.48
10875,23849,0.002211034,1448.10
4093,7046,0.001595761,5619.00
28667,6682,0.024321993,4705.91
9505,9507,0.00586378,1359.01
28501,28664,0.024017994,4709.77
6675,22537,0.002734983,1428.19
23598,23599,0.000578282,6002.84
6991,19358,0.00107344,1517.84
18865,18866,0.007347089,5087.31
28945,9477,0.01110244,4952.40
9506,28954,0.015105898,4854.11
6685,28702,0.017102064,4815.05
10038,10039,0.00867602,5032.55
9829,9831,0.00906503,5018.20
23596,28951,0.001768897,5581.45
4472,28471,0.02138447,4745.51
27922,27919,0.001408309,5664.90
18691,14194,0.0061604,1354.65
14626,15689,0.018486144,1261.13
6652,28470,0.001286729,41606.61
6679,23782,0.043536597,4530.88
23854,30401,0.04670541,4510.21
9887,18698,0.002853484,5410.38
23848,6692,0.046387971,4512.21
6670,22541,0.001217282,5718.91
6965,6967,0.022287834,1245.87
333,19233,0.003244656,5365.32
324,19233,0.002698845,5430.04
22426,22427,0.000379356,6169.88
6905,22592,0.000930166,5819.95
28502,30890,0.018917039,1259.24
20153,30301,0.000587354,1578.61
23847,28670,0.00169179,5597.67
23785,9862,0.012031605,4926.55
9458,23585,0.000587216,5996.86
2042,2416,0.011714022,4935.14
6400,18992,0.043142734,1193.43
3497,20882,0.00299891,1419.65
26292,2106,0.000186649,1700.93
6930,28700,0.019018025,4781.88
4491,28506,0.032471257,1215.72
7591,19221,0.000147546,6561.08
28697,6669,0.012809469,4906.50
23773,9836,0.01760207,4806.03
29630,30522,0.015256285,4850.98
7798,13721,0.017092609,1267.58
9837,23771,0.003444149,5344.52
7555,22779,0.000526869,6039.34
6673,6940,0.030966465,1219.48
18689,28669,2.63777E-05,7339.22
7701,22868,0.001198614,1506.98
5608,6586,0.003239166,5365.91
6897,7619,0.052864109,4473.99
6965,6968,0.031591102,1217.89
23779,28947,0.005576797,5179.44
7590,22813,0.006858488,5110.15
19634,28669,0.034790739,4597.51
2042,2416,0.010726519,4963.52
9838,23773,7.02082E-05,6886.09
9508,23787,0.003213299,5368.71
18707,18710,0.002277075,1445.32
25970,14783,0.001298953,1499.12
6916,6969,0.005072012,1371.90
6901,6906,0.030453454,4637.54
6698,22546,0.000244434,6348.97
6697,6703,0.020140002,4764.07
18710,6692,0.009968933,4987.24
23777,9852,0.02460807,4702.33
1517,20883,0.007193163,1341.05
6685,31267,0.002582496,1433.53
6403,18867,0.004584588,1380.96
4459,28502,0.011796191,1298.55
23771,28993,0.024700718,4701.18
10014,14521,0.018971747,1259.00
340,6907,0.028660672,4655.89
22548,22818,0.010145597,4981.54
9834,28666,0.01800794,4798.90
1837,22549,0.000154401,6541.71
23783,28652,0.024553069,4703.02
29872,29874,0.000123348,6638.04
19358,29661,0.005986659,1357.18
26833,28707,0.001822706,1466.42
4169,13431,0.00220364,1448.41
7092,1924,0.023043339,4722.49
1514,6177,0.004427376,5257.85
27922,27919,0.000638186,5964.45
6941,30950,0.000995105,5794.43
6967,28707,0.061618684,4429.58
19634,28668,0.002344706,5479.99
6404,6655,0.021285553,4746.94
9821,23774,0.033135878,1214.11
18869,30522,0.001299913,5694.51
6967,6986,0.004574939,1381.15
10017,28707,0.082473915,4346.30
340,6903,0.002466218,5461.99
6681,22521,0.009347178,5008.19
7619,22868,0.005926286,5158.98
9480,23599,0.009116015,1320.53
29979,30069,0.012160449,4923.14
6956,28703,0.00376913,1398.68
9829,9832,0.006143999,5146.88
7011,28710,0.028571563,4656.84
18866,18696,0.021683065,4741.23
6677,10039,0.027345664,4670.15
29962,18703,0.006739086,1346.76
6912,6922,0.021275573,4747.09
28766,18866,0.016383384,4828.53
9840,23774,0.012859064,1291.28
4491,28506,0.032411809,1215.86
1514,28509,0.07027508,4391.83
9414,28704,0.008961352,1322.00
319,29015,0.016653679,4823.39
30630,29240,0.007185646,1341.14
6703,7618,0.024466665,4704.10
30412,10014,0.018178085,4795.96
6691,22549,0.015310897,4849.86
15776,26871,0.018285274,1262.02
1850,20153,0.007090485,1342.31
