n_319_nuc,n_6652_nuc,n_18689_nuc
927.1653744,2431.680659,1953.199788
927.9228625,2431.680659,1954.795539
929.1853425,2430.028478,1957.455125
928.4278545,2432.011095,1955.859373
929.4378386,2432.671968,1957.987042
929.1853425,2431.680659,1957.455125
929.1853425,2431.350223,1957.455125
930.1953266,2431.680659,1959.582793
929.1853425,2432.011095,1957.455125
929.4378386,2431.350223,1957.987042
929.9428306,2430.68935,1959.050876
929.4378386,2432.341532,1957.987042
929.9428306,2431.350223,1959.050876
929.4378386,2430.68935,1957.987042
929.4378386,2430.68935,1957.987042
929.6903346,2430.68935,1958.518959
929.4378386,2430.68935,1957.987042
929.6903346,2429.698041,1958.518959
928.9328465,2427.715424,1956.923208
928.6803505,2427.384987,1956.39129
927.4178704,2427.715424,1953.731705
928.6803505,2423.419752,1956.39129
928.4278545,2422.758879,1955.859373
928.9328465,2423.419752,1956.923208
928.4278545,2423.419752,1955.859373
928.4278545,2425.071933,1955.859373
928.9328465,2422.758879,1956.923208
928.4278545,2423.750188,1955.859373
928.9328465,2422.428443,1956.923208
929.4378386,2422.758879,1957.987042
928.9328465,2421.437134,1956.923208
929.1853425,2422.428443,1957.455125
928.4278545,2422.098007,1955.859373
928.4278545,2422.428443,1955.859373
928.9328465,2423.750188,1956.923208
928.1753585,2422.758879,1955.327456
928.9328465,2423.750188,1956.923208
928.6803505,2423.750188,1956.39129
929.6903346,2424.741497,1958.518959
930.1953266,2424.741497,1959.582793
927.9228625,2425.071933,1954.795539
928.4278545,2426.724115,1955.859373
927.6703664,2422.428443,1954.263622
929.6903346,2422.098007,1958.518959
926.6603824,2422.098007,1952.135953
927.6703664,2423.750188,1954.263622
927.6703664,2424.741497,1954.263622
927.1653744,2423.419752,1953.199788
926.9128784,2424.741497,1952.66787
927.1653744,2426.393678,1953.199788
928.1753585,2428.376296,1955.327456
927.1653744,2395.002231,1953.199788
927.6703664,2358.323803,1954.263622
927.6703664,2319.993193,1954.263622
928.9328465,2281.662583,1956.923208
927.6703664,2213.262271,1954.263622
927.4178704,2200.705692,1953.731705
928.1753585,2200.705692,1955.327456
927.6703664,2200.04482,1954.263622
927.4178704,2200.375256,1953.731705
927.4178704,2200.04482,1953.731705
928.6803505,2199.053511,1956.39129
928.1753585,2199.383947,1955.327456
927.9228625,2200.04482,1954.795539
928.9328465,2198.392638,1956.923208
927.1653744,2200.04482,1953.199788
927.4178704,2208.636163,1953.731705
926.4078864,2240.688483,1951.604036
927.6703664,2272.079931,1954.263622
925.9028943,2306.775741,1950.540202
926.4078864,2333.210645,1951.604036
926.1553903,2355.349876,1951.072119
925.9028943,2385.750015,1950.540202
926.6603824,2411.193609,1952.135953
926.1553903,2427.715424,1951.072119
926.6603824,2431.019787,1952.135953
926.4078864,2431.680659,1951.604036
927.6703664,2431.019787,1954.263622
926.4078864,2430.68935,1951.604036
926.6603824,2430.68935,1952.135953
926.4078864,2430.68935,1951.604036
926.4078864,2433.002404,1951.604036
927.1653744,2431.019787,1953.199788
926.6603824,2431.019787,1952.135953
927.4178704,2432.011095,1953.731705
926.9128784,2430.358914,1952.66787
926.6603824,2432.671968,1952.135953
924.8929102,2430.68935,1948.412533
925.1454063,2431.680659,1948.94445
923.6304302,2431.019787,1945.752947
924.6404142,2431.019787,1947.880616
923.8829262,2429.367605,1946.284865
923.8829262,2429.698041,1946.284865
923.8829262,2429.367605,1946.284865
923.6304302,2430.68935,1945.752947
923.3779341,2430.358914,1945.22103
923.6304302,2431.680659,1945.752947
923.3779341,2429.037169,1945.22103
923.1254381,2431.019787,1944.689113
923.8829262,2430.68935,1946.284865
923.1254381,2430.358914,1944.689113
923.6304302,2430.68935,1945.752947
924.1354222,2430.028478,1946.816782
923.3779341,2431.019787,1945.22103
923.6304302,2430.028478,1945.752947
923.3779341,2432.671968,1945.22103
923.1254381,2429.698041,1944.689113
923.1254381,2431.350223,1944.689113
923.1254381,2431.680659,1944.689113
923.1254381,2432.011095,1944.689113
921.862958,2433.332841,1942.029527
922.6204461,2430.028478,1943.625279
922.6204461,2431.019787,1943.625279
921.862958,2431.680659,1942.029527
921.610462,2430.028478,1941.49761
920.852974,2431.350223,1939.901859
920.600478,2428.04586,1939.369942
920.852974,2432.341532,1939.901859
921.610462,2431.019787,1941.49761
922.3679501,2430.68935,1943.093362
921.862958,2431.019787,1942.029527
922.3679501,2431.350223,1943.093362
922.3679501,2429.367605,1943.093362
923.1254381,2432.671968,1944.689113
923.1254381,2430.68935,1944.689113
922.8729421,2431.680659,1944.157196
922.8729421,2431.019787,1944.157196
924.1354222,2432.011095,1946.816782
924.3879182,2431.019787,1947.348699
924.8929102,2431.680659,1948.412533
923.8829262,2430.68935,1946.284865
924.8929102,2431.680659,1948.412533
923.8829262,2431.019787,1946.284865
924.3879182,2431.680659,1947.348699
924.3879182,2431.680659,1947.348699
923.8829262,2430.358914,1946.284865
925.6503983,2430.68935,1950.008285
923.3779341,2430.68935,1945.22103
923.1254381,2431.680659,1944.689113
923.1254381,2430.68935,1944.689113
922.6204461,2431.019787,1943.625279
922.8729421,2430.028478,1944.157196
923.1254381,2430.358914,1944.689113
921.610462,2432.011095,1941.49761
922.8729421,2429.367605,1944.157196
923.6304302,2430.358914,1945.752947
923.1254381,2428.04586,1944.689113
923.8829262,2430.028478,1946.284865
925.3979023,2429.698041,1949.476367
925.1454063,2430.028478,1948.94445
923.6304302,2430.028478,1945.752947
923.8829262,2430.68935,1946.284865
923.6304302,2429.367605,1945.752947
924.1354222,2431.019787,1946.816782
925.1454063,2428.706733,1948.94445
923.1254381,2428.376296,1944.689113
923.8829262,2430.358914,1946.284865
923.6304302,2429.367605,1945.752947
923.1254381,2429.037169,1944.689113
923.1254381,2429.037169,1944.689113
923.8829262,2428.376296,1946.284865
923.1254381,2426.063242,1944.689113
923.1254381,2427.384987,1944.689113
923.3779341,2426.724115,1945.22103
922.1154541,2428.04586,1942.561445
922.6204461,2427.715424,1943.625279
922.1154541,2428.04586,1942.561445
922.1154541,2428.376296,1942.561445
922.1154541,2427.715424,1942.561445
921.10547,2429.037169,1940.433776
921.357966,2429.367605,1940.965693
921.610462,2430.028478,1941.49761
921.610462,2429.367605,1941.49761
921.610462,2430.68935,1941.49761
921.610462,2428.706733,1941.49761
921.10547,2426.063242,1940.433776
921.10547,2426.393678,1940.433776
921.357966,2422.098007,1940.965693
921.10547,2424.080624,1940.433776
922.1154541,2422.758879,1942.561445
921.610462,2422.758879,1941.49761
921.357966,2423.750188,1940.965693
921.610462,2420.445825,1941.49761
921.862958,2423.419752,1942.029527
921.10547,2423.089316,1940.433776
920.600478,2421.76757,1939.369942
919.5904939,2422.428443,1937.242273
919.5904939,2423.089316,1937.242273
920.0954859,2424.411061,1938.306107
920.0954859,2424.080624,1938.306107
918.8330058,2426.393678,1935.646522
919.3379979,2425.732806,1936.710356
920.0954859,2429.367605,1938.306107
